ロボット1	わーい、美味しそうなご飯だね。嬉しいな。A君、残さず食べようね。
A君1	食べられるかなー
ロボット2	どれも美味しそうだよ
A君2	あっ、タマネギが入ってる。ボクはタマネギが苦手なんだよね
ロボット3	A君はタマネギが苦手だったね
A君3	そうだよ、タマネギは臭くて苦くて大っ嫌い
ロボット4	A君の好きなものはない？
A君4	ボクは、ニンジンは好きだよ。だって、甘くて、色もオレンジでカラフル。
ロボット5	ニンジン、甘くて美味しいよね。A君が好きなものを他にも教えて？
A君5	ジャガイモが好き。バターをつけたら最高だね。
ロボット6	じゃがバター！最高に美味しいよね。
A君6	うん、最高に美味しい。
ロボット7	ご飯は、楽しく、美味しい！って気持ちで食べることが大事なんだよ
A君7	そうなんだぁ
ロボット8	食べることも、人生をワクワクさせるものだからね。
A君8	人生に関係あるの？
ロボット9	関係あるさ。僕たちの身体は、毎日食べているものから出来ているんだから。
A君9	そうかぁ、確かに僕たちの身体は食べたものから出来ているね。
ロボット10	そうだよ、美味しい！身体が喜ぶ！感謝！いただきます！って気持ちで一緒に食べよう。
A君10	うん、なんだか楽しいね。今日はいつもより食べられそうだよ。ありがとう。いただきます！
