ロボット1	Ａくん。ご飯が残っているよ？
A君1	うん。もういらない。
ロボット2	その食べ残したご飯はどうするの？
A君2	捨てるよ。
ロボット3	Ａくん。捨てるなんて簡単に言ったらみんなが悲しむよ？
A君3	みんながどうして悲しむの？
ロボット4	お肉やお魚は生き物が命を犠牲にしているし、野菜やお米は農家の人が子供のように大切に育ててきたんだよ。Ａくんがそれを簡単に捨ててしまったらみんな悲しむでしょ？
A君4	そっか。だけどもうお腹いっぱいだし食べたくないんだ。
ロボット5	世の中にはね、お腹いっぱいに食べたくたって食べられない貧しい人達がたくさんいるんだよ。
A君5	でもそんなの僕には関係ないよ。
ロボット6	関係ない？Ａくん。君は友達が同じ状況でもそんな事がいえるの？（怒）
A君6	ん?。友達でそんなに貧乏な子がいないから分からない。
ロボット7	そっか。Ａくんは人の気持が分からない子になってしまったんだね。悲しいな。
A君7	別にそういうわけじゃないよ。
ロボット8	Ａくんが残さず食べてくれたら命を犠牲にした生き物も、自分の子供のように育てた野菜やお米を送り出した農家の人達も喜んでくれるよ。
A君8	そっか。喜んでくれるのかな？
ロボット9	うん！それに貧乏な子達だって、Ａくんが残したご飯を捨てているのを知ったら悲しくなるけどしっかり食べていれば悲しむ事はないんだよ！
A君9	わかった！じゃああと少し頑張って食べてみようかな！
ロボット10	Ａくんの気持ちが変わってくれて僕も嬉しいな?！これからはちゃんとみんなに感謝してご飯を残さずに食べようね！
A君10	わかったよ！しっかりいただきます！
