ロボット1	雨も止んだし、ウォーキングでもしたらどうですか。
A君1	うん？暑いよ。
ロボット2	涼しくなってきましたよ、お水を持って出掛けたらどうですか？
A君2	疲れちゃって、行きたくないよ。
ロボット3	昨日も同じ事を行って、ウォーキングにいかったですね、。明日は行くって言いましたよね？
A君3	うるさいな、予定は流動的なんだよ。
ロボット4	人間ドックで、医者にいわれましたよね？歩くように。
A君4	運動不足とは言われた。
ロボット5	歩くのが手軽でいいね、って話しましたよね？
A君5	ジムにでも入ろうかな？
ロボット6	それもいいですね。色々な運動ができますから。行きましょう！
A君6	明日入会しようかな、キャンペーン中だし。
ロボット7	今日入会したらどうですか？
A君7	雨、降ってるんじゃん？
ロボット8	もう止みました。気温も下がり、ちょうどウォーキングにいい時間帯ですよ。
A君8	スポーツクラブに入会するよ。
ロボット9	では、スポーツクラブまで歩いて行きましょう、15分間のウォーキングになりますよ。
A君9	車で行くよ。
ロボット10	それではカロリー消費が少ないので、入会したらそのままトレーニングしましょう。
A君10	わかったよ、歩くよ。ウォーキングすれば良いんでしょ？！
