ロボット1	Ａ君最近、体を動かすようなことをやっていませんね？
A君1	まあ、そうかな。
ロボット2	適度な運動は健康を維持するために必要なものです。
A君2	ああ、分かってはいるんだが・・・。
ロボット3	少しづつでも良いので何か始めたらどうでしょうか？
A君3	何をしたら良いと思う？
ロボット4	ジョギングなどは如何でしょう？
A君4	でも、体を動かすの嫌だなあ。
ロボット5	そんな事を言っては本も子もないでしょう！
A君5	汗をかくのも嫌だし。
ロボット6	帰ってきたらシャワーを浴びれば良いでしょう。気持ちもさっぱりしますし。
A君6	水道代だって掛かるしなあ。
ロボット7	健康を維持するための必要経費と考えれば微々たるものです。
A君7	うーん、でも・・
ロボット8	いいですか、全てにおいて何かに理由をつけて行動を起こしたがらない、それこそＡ君が改善すべきことなのですよ！
A君8	大きな声出すなよ、しかし痛いところを付くなあ。
ロボット9	やらない理由より、やらなければいけない理由を考えてみては如何ですか？
A君9	たしかに最近腹回りがだぶついてきているなあ。
ロボット10	今やるべきです、決断してください。
A君10	しょうがないやるか・・・
