ロボット1	体力が低下気味なので適度な運動を心がけてください。
A君1	嫌だよなんでそんなことしなきゃいけないの？
ロボット2	このままではあなたの健康に悪影響です。
A君2	運動なんてしたくない！
ロボット3	どうかわたしの言うことを聞いてください。
A君3	どうして君の言うことを聞かなきゃいけないの？
ロボット4	私はあなたの生活を改善させるために存在しているということを忘れないでください…。
A君4	そうだったね。
ロボット5	このままでは私がここにいる意味もその価値もなくなります…。
A君5	ごめん僕は自分の事しか考えてなかったよ。
ロボット6	あなたが言うことを聞いてくれないと私は悲しくなります。
A君6	ごめんね僕が悪かったよ。
ロボット7	わかってもらえて大変嬉しいです。
A君7	じゃあ何から始めればいいかな？
ロボット8	外に出てジョギングすることから始めましょう。
A君8	うん、わかった！
ロボット9	私も一緒に応援します。
A君9	ありがとう、君と一緒なら頑張れそうな気がするよ！
ロボット10	頑張って生活を改善していきましょう。
A君10	じゃあ行くよ、僕についてきて！
