ロボット1	A君、ちゃんと毎日運動しなよ!!
A君1	なんでだよ…運動って疲れるから嫌いなんだよね…
ロボット2	そりゃ〜はじめは疲れるよ。でも、身体が慣れてくれば疲れなくなるよ!!だいたい、体力がないから疲れるんだろ!
A君2	別に、体力つけたいと思ってないし･･･
ロボット3	このままだとメタボになっちゃうよ。
A君3	良いよ…
ロボット4	良いよ〜???!!!　それに、病気になりやすくなるよ。
A君4	僕、身体強いし。
ロボット5	強いと思っていても、運動しておかないと、年を取ってから後悔するよ。
A君5	うーーーーん。
ロボット6	ね？運動はちゃんとやろう?慣れてくると、気持ちがいいよ?
A君6	うーーーーん。
ロボット7	それに、慣れてくると、毎日運動しないと気持ちが悪くなるんだよ？そうなったらこっちのもんだよ?
A君7	うーーーーん。。でも、1人で運動するのってつまらないし、続かないんだよね．．．
ロボット8	そっか。それもそうだね。確かに1人で運動するのはつまらないよね。
A君8	そうなんだよね。
ロボット9	じゃあ、僕も一緒につきあうよ。それなら運動してくれる?
A君9	そうだね。君と一緒に運動したら楽しそうだな。
ロボット10	じゃあ、今日から早速一緒に運動しようか！！
A君10	そうしよう！がんばってみるよ！！
