ロボット1	せっかく作ってもらったんだから、残すのはよくないよ。
A君1	でも、もうお腹いっぱいなんだ。
ロボット2	その野菜やお米をつくった人はどう思うかな？僕ならすごく悲しい。
A君2	お金を出して買ったんだからいいじゃないか。
ロボット3	じゃあご飯を作ってくれた人はどうだろう？残されるために作ったわけじゃないよ。
A君3	たくさん作りすぎるのが悪いよ。こんなには食べられない。それに、野菜が嫌いなんだ。
ロボット4	嫌いなものでもがんばって食べてみようよ！
A君4	味がだめなんだ。
ロボット5	じゃあ、嫌いなものを食べた後に好きなものを食べるのはどう？
A君5	うーん。
ロボット6	残してもいいと思うから食べないんだよ。全部食べることが前提にあれば、どうやって食べようかと思うよね。
A君6	そうだね、食べなきゃいけないなら考えるよね。
ロボット7	好きなものばかり食べた後だとどうしても嫌いなものが食べにくくなるけど、後で好きなものが食べれると思うと頑張れそうじゃない？
A君7	たしかに！
ロボット8	食べれそうかな？
A君8	うーん。でも実際に目の前にすると食べれるか不安だよ。
ロボット9	でもA君が残さず食べてくれると、僕はすごく嬉しいな！
A君9	わかった。食べるよ！
ロボット10	ありがとう！これからもちゃんと食べるんだよ？
A君10	がんばるよ！
