ロボット1	ご飯は残さずきれいに食べてください。
A君1	今日はあまり食べたくないです。
ロボット2	どこか具合がよくないのですか？
A君2	特に悪いところはありません。
ロボット3	おなかが空いていないのですか？
A君3	そんなことはないです。
ロボット4	では、何か嫌な物でも入っていますか？
A君4	どうしても食べたくないものが入っています。
ロボット5	それはなんですか？
A君5	お肉です。
ロボット6	お肉は大事な栄養素なので食べてください。
A君6	嫌です。
ロボット7	食べないと健康になりませんよ。
A君7	かまいません。
ロボット8	この前は食べましたよね。
A君8	そうだったかなぁ。
ロボット9	食べてくれたのでとてもうれしかったです。
A君9	好きな味だったから。
ロボット10	今日は味が好みではないのですね。
A君10	はい。
ロボット11	それでも健康のためには食べたほうが良いです。
A君11	食べられません。
ロボット12	食事を残すのを見るのはとても悲しいです。
A君12	そうなの？
ロボット13	生活改善のためには食事はとても大切です。
A君13	そうだけど。
ロボット14	生活改善のために一緒にいるのですから。
A君14	わかりました、残さず食べます。
