ロボット1	ご飯は残さず食べましょう
A君1	食べたくない
ロボット2	どうして食べたくないのですか？
A君2	…食欲がない
ロボット3	体調が悪いのですか？大丈夫ですか？
A君3	体調は悪くない。大丈夫。
ロボット4	体調が悪くないなら食べましょう
A君4	食欲がないのは嘘！本当は〇〇が嫌いなだけ！
ロボット5	どうして嘘などつくのですか！
A君5	だって食べたくなかったから
ロボット6	嘘をつくことはいけないことです！
A君6	ごめんなさい
ロボット7	好き嫌いをしていると本当に体調が悪くなってしまいます
A君7	僕の体調が悪くなったって関係ないだろ
ロボット8	A君の体調が悪くなったらロボットはとても悲しいです。心配です
A君8	そうなの？
ロボット9	もちろん。A君にはいつまでも健康でいてほしいのです
A君9	…わかったよ。そこまで言ってくれるなら食べてみる
ロボット10	素晴らしいです！頑張りましょう！
A君10	…食べたよ。でもやっぱり美味しくない。
ロボット11	偉いです！健康への第一歩ですね
A君11	大袈裟だなあ
ロボット12	好き嫌いをなくしてバランスのよい食事を心がけることにより、病気などを防ぐことができます。
A君12	ふーん。食事って大事なんだね
ロボット13	その通り！美味しく、健康な体を作りましょう！
Aくん13	わかったよ！好き嫌いが減るように頑張るよ
