ロボット1	A君今日は天気も良いので運動がてらにウォーキングしませんか。
A君1	外は暑いからめんどくさいよ。
ロボット2	ですが、天気が良いですよ。
A君2	だから嫌なんだよ。
ロボット3	それなば目的地を涼しいところにしましょう。
A君3	え、どこに行くの
ロボット4	そうですね、噴水がある涼しい公園などいかがですか
A君4	うーんそこなら良いかも
ロボット5	公園までウォーキングし涼しいところを見つけ冷たい麦茶でも飲んではいかがですか
A君5	そうだね運動したら汗をかくから水分をとらないとね
ロボット6	そうです運動したらしっかり水分を補給して下さい
A君6	でもやっぱり外は暑いな〜
ロボット7	帽子をかぶり、キンキンに冷えた麦茶のペットボトルを体にあて冷やしながら行くのはいかがですか
A君7	それなら冷たくて良いね
ロボット8	私もそう思います。では行く準備をしましょう。
A君8	そうだね、暑いから汗を拭く物も持っていくね
ロボット9	それならリュックに入れ行きましょう。両手が使え楽ですよ。
A君9	リュックかそれならウォーキングをしに公園に着いたら、おにぎりなんかも食べたいな
ロボット10	それならば、噴水のあるもうひとつ離れた公園に行きましょう。遠足の様なだけで無く運動にもなりますよ。
A君10	そうだね、どうせウォーキングだけで無く遠足だと考えれば楽しおにぎりがもっと美味しくなりそうだよ。
ロボット	そうです気分を変えて運動するのも良い事です。
