ロボット1	外でジョギングをする時間ですよ。
A君1	今は、したくないよ。
ロボット2	だいぶ運動をしていませんから、これから運動をしましょう。
A君2	それじゃあ、明日するよ。
ロボット3	それでは、運動不足が解消しません。
A君3	1日ぐらい、大丈夫じゃない？
ロボット4	運動不足だから、ジョギングすると決めたのではありませんか？
A君4	そうだけど。
ロボット5	だったら、決めたとおりジョギングしましょう。
A君5	今日は遅いから、明日でいいんじゃない？
ロボット6	決めたとおりに実行しなければ、全然運動不足が解消しませんよ。
A君6	今日は、走りたい気分じゃないんだけど。
ロボット7	体に悪いから、運動しようと決めたんではないのですか。
A君7	もちろん、そうだよ。
ロボット8	体調がどんどん悪くなっても良いのですね。
A君8	そこまで言っていないよ。
ロボット9	体に悪いと言っても運動しないのですね。
A君9	だから、明日するから。
ロボット10	決めたとおり実行しないのなら、管理しても仕方がないので、今までのデータをリセットします。
A君10	止めて。ジョギングに行ってきます。
