ロボット1	A君、ゲームを辞める時間ですよ。
A君1	えー、今いいところなんだから待ってよ。
ロボット2	ダメです。ゲームは時間を決めてと約束しています。その約束でゲームを始めたんだよ。
A君2	そうだけれど、あと少しだけやらせてよ。
ロボット3	ダメです。長時間ゲームをしていると目が悪くなりますよ。
A君3	ほんの少しだけだからいいじゃないか。
ロボット4	ダメです。ダメです。ダメです。約束を守らないと、明日からゲーム禁止にしますよ。
A君4	そんの厳しくなくてもいいじゃない。お願い、あと少しだけやらせてよ。
ロボット5	今日あと5分ゲームをして、明日からできないのと、今日我慢して、明日からも毎日できるのはどっちがいいか考えてみてください。
A君5	そんなのずるいよ！
ロボット6	ずるいことはないです。初めにA君が約束してくれたんだから。ゲームも楽しいのはわかるけれど、僕と遊ぶのはどうですか？
A君6	あ、ロボットと遊ぶのも楽しそうだね！
ロボット7	そうですよ、ゲームよりずっと楽しいですよ！ゲームばかりだと体も動かさないので体を動かす遊びをしようよ。
A君7	じゃあ、君と遊んだらゲームに戻ってもいいかな。
ロボット8	A君は僕と遊ぶより、ゲームで遊ぶ方がすきそうですね。少し自信をなくしました。
A君８	いや、どちらも好きだよ。でも今日はゲームをしたい気分だったんだよ。
ロボット9	お気持ちは察します。でもそこまで言われると僕も面白くならなきゃと燃えますね。今日は特別に今までしたことのない遊びを教えてあげましょう。
A君9	お、そう言われると楽しそうに感じるな。
ロボット10	A君ものってきましたね。さぁゲームをやめて、片付けましょう。
A君10	何だか物足りないけれど、明日またするから今日はやめるよ！
