ロボット1	ご飯をちゃんと残さず食べましょう
A君1	嫌いなものを無理して食べる必要はないよ
ロボット2	ぼくは悲しいしぼくは君の成長を見たい
A君2	でも無理なものは無理なんだ
ロボット3	君が食べれないのは強くそう思いすぎていることにも原因もあるかもしれない
A君3	どういことだい？
ロボット4	強い思いはその対象をもっと嫌いと思ってしまうんだ
A君4	確かに物凄くぼくは拒否してる
ロボット5	無理に好きにならなくてもいいんだよ
A君5	じゃあ食べなくてもいいんだろう？
ロボット6	嫌いなものでも良いところを見つけてごらん
A君6	良いところ？
ロボット7	一つの嫌な思いでその存在全てが嫌になることは勿体ないよ
A君7	人間関係にもおなじことが言えるね…
ロボット8	そう。だから必ず食べ物にも良いところはあるんだよ
A君8	そうか。それを探せば少しは「好き」に近づけるかな？
ロボット9	もちろん。そして好きな食べ物もそうしてたくさん増えていくんだよ
A君9	そしたら食べ物で困ることがないね！
ロボット10	そうさ！それが成長することだよ！
A君10	ありがとう。ぼくこれ食べてみるよ
