ロボット1	あれ？まだ残ってるよ。食べてね。
A君1	あぁ、もうこれいいや。
ロボット2	食事はバランス良く食べないと。
A君2	大丈夫大丈夫
ロボット3	この野菜には栄養分がたくさん含まれているんだよ。だから全部食べようよ。
A君3	いや、これ苦手なんだよね。
ロボット4	A君便秘気味でしょ？これ食物繊維豊富だから便秘解消できるよ。
A君4	放っておいて。
ロボット5	せっかくこんなに美味しいご飯なのに。食べてくれないと悲しいよ。
A君5	ロボットには関係ないでしょ。
ロボット6	ある！A君が元気でないと心配になるから！
A君6	あ、ありがとう。
ロボット7	この野菜を丹精込めて作った人、売った人、買った人、料理を作った人、誰もこれが捨てられるなんて考えてないよ。
A君7	大げさだな。
ロボット8	１つ１つにたくさんの人が関わってるの！
A君8	そう言われてみれば…。
ロボット9	A君の見えないところで頑張ってる人がいることを忘れないで！
A君9	やっぱり大げさじゃない？
ロボット10	違う！僕もたくさんの人が作ってくれたの。捨てられるために作られたんじゃないんだから！
A君10	ごめん。わかった。食べてみるよ。
