ロボット1	A君、外で一緒に散歩しないかい？
A君1	面倒だから今日はしなくていいや
ロボット2	A君、体がメタボだよ
A君2	ひどいことを言うなぁ
ロボット3	身体をシェイプして人生をもっと輝かせないかい？
A君3	そうだなぁ
ロボット4	変わりたいって気持ち、A君自身が気づいてないかもしれないけれど、本当の思いを大事にしてみたらいいんじゃないかな？
A君4	確かに、変わりたいって気持ちはあるかもね。ただ、なかなか続かないんだよね。
ロボット5	A君にとって、こうなりたいってカラダはある？
A君5	坂口憲二みたいなカラダになりたいよ
ロボット6	少し本当の気持ちを話してくれて嬉しいよ
A君6	自分にはなれないって諦めてたよ
ロボット7	僕は絶対に諦めないよ。A君のパーソナルパートナーだからね。
A君7	ありがとう
ロボット8	喜んでくれて嬉しいよ。成功の極秘情報を教えよう。絶対に外れないシステムを僕は持っているんだ。
A君8	何何？
ロボット9	大きな夢は、小さく達成することが大事なんだ。
A君9	うん
ロボット10	まずやることは、たった30秒でいい。いまから30秒、外に出て僕と一緒に散歩しよう。いいかい？30秒なら出来るだろ？これを明日も一緒にするんだ。まずは習慣を変えることが一番大事だからね。
A君10	わかった。30秒から行動を変えてみよう！ありがとう。
