ロボット1	A君、ゲームを始めてもう3時間になります。今日はもうこれくらいにしましょう。
A君1	だめだよ、今いいとこなんだから。
ロボット2	だめなのは、長い時間ゲームをしているA君です。
A君2	じゃあ別にだめでいいもん、放っといてよこのポンコツロボ！ロボットなんだから人間の言うこと聞けよ！
ロボット3	・・・・・・
A君3	・・・・・・
ロボット4	・・・・・・
A君4	・・・・・・、な、なんだよ。
ロボット5	私は悲しいです。
A君5	何がだよ。
ロボット6	A君にとって、私はただのロボットですか。私はこれまで、A君が正しい生活に戻れるようにしてきました。A君を良い方向に導こうと努めて来ました。
A君6	それがなんだよ。
ロボット7	確かに私はロボットです。ただのロボットです。しかし、私は、A君と生活を共にするうちに、親しみ、といいますか。本来ロボットには、人間のそういった所謂「感情」というものがプログラムされておりませんでした。ですが、たったいま、A君に、ロボットだと改めて言われ、私は、おそらく傷つきました。これが、人間の持つ「感情」の「悲しみ」というものなのでしょうか。
A君7	・・・・・・
ロボット8	A君にとって、私は、ただのロボットに過ぎませんか。
A君8	・・・、そんなこと、ないよ。ロボットは、僕の友達だよ。確かにいつもうるさくって迷惑だと思うこともあるけど、一緒に暮らしてると、ロボットだけど会話が出来るし、人間みたいに思える時もあるし・・・。大丈夫だって、友達だから。
ロボット9	・・・そうですか。
A君9	うん。
ロボット10	それでは、さきほど私がお願いしました、ゲームも今止めてくれますか。ずっとするなと言っている訳ではありません。
A君10	あ〜、う〜〜〜ん・・・・・・分かったよ。ずっとやめろって訳じゃないんだろ？それならもう言うこと聞くよ。
ロボット10	ありがとうございます、A君。それでは今から宿題をしましょう。
A君10	え〜、ゲームしたばっかりじゃん！？
ロボット10	「楽あれば苦あり、苦あれば楽あり」人間のことわざです。
A君11	あ〜、やだなあもう、楽しかったのに〜！！
