ロボット1	ご飯や残さず食べないとだめですよ。
A君1	食べたくない。
ロボット2	体に必要なものがたくさんあるので、まずこれを一口食べてください。
A君2	これなら食べるよ。
ロボット3	すごい！その調子です！！
A君3	じゃあこれも食べるよ。
ロボット4	僕もA君が食べてくれると嬉しいし、作ってくれた人も喜んでいます！
A君4	これは食べたくない。
ロボット5	どうして食べれないんですか。
A君5	嫌いだから。
ロボット6	この料理を作ってくれた人にどれだけの人の力が関わっていると思っているんですか？
A君6	知らない。食べたくないものは食べたくない。
ロボット7	A君が食べてくれるために何倍も頑張っている人がいるのにその言葉と気持ちはなんなんですか？
A君7	関係ない。
ロボット8	A君は僕と一緒に頑張ってくれていると思っていたのに、その言葉にはがっかりです。
A君8	そんなこと言われても嫌いだから。
ロボット9	どうやら、僕の役目は終わりのようです。これからは一人で頑張ってください。
A君9	少しだけ、食べてみる。
ロボット10	時間はかかっても残さず食べるようにすることが大事です。
A君10	これからは、残さず食べるように頑張るよ。
ロボット11	そういう気持ちを持ってくれて、応援したくなりました！僕と一緒に頑張りましょう！
