ロボット1	今日はとても天気が良いよ、窓の外を見てごらん。
A君1	うん、本当だね、青空が広がっている。
ロボット2	少し外へ出てみない？
A君2	うん、少し位ならよいかな。あまり動きたくないけど。
ロボット3	最近、部屋にこもってばかりじゃないかな、体がなまっちゃうよ。
A君3	いいんだ、部屋で過ごすのが心地良いから。
ロボット4	たまには、一緒にゆっくり散歩でも行きたいな。
A君4	歩くのも疲れるし、家でゆっくりすればいいと思うよ。
ロボット5	運動をして、汗をかくと気持ちよいのではないかな。
A君5	確かに爽快感はあるけど、面倒くさいよ
ロボット6	あれ？スポーツ好きだったよね？
A君6	うん、好きだけど最近はあまりやらないね。
ロボット7	そのせいかな、昔よりぽっちゃりしている気がする。
A君7	あまり変わらないよ。
ロボット8	昔は日焼けして、スマートな感じでかっこよかったよね
A君8	今はかっこ悪いわけ？
ロボット9	そういう事ではなく、いつでもアクティブでいてほしいな〜って思うよ。
A君9	ふーん、そんな事思うんだ。確かに昔はいつも動いていたな。
ロボット10	そうだよ、いつも元気でいてほしいよ。これからも長い付き合いをするのだから。
A君10	そっか、ありがとう、よし散歩へ行こうか。
