ロボット1	一緒に掃除をしませんか？
A君1	嫌だよー。
ロボット2	掃除をすると気分が良くなりますよ。
A君2	面倒臭い。
ロボット3	そんなこと言わないでください。
A君3	だってやりたくないもん。
ロボット4	私も一緒に頑張ります。
A君4	何からしたらいいかも分からないよ。
ロボット5	まずは周りに落ちているゴミを拾いませんか？
A君5	それだけでいいの？
ロボット6	少しずつ覚えていきましょう。
A君6	それぐらいならできるけど。
ロボット7	すごい！さすがです！
A君7	そう？
ロボット8	その調子で少しずつ掃除していきませんか？
A君8	簡単なことならやってみようかな。
ロボット9	次は雑巾掛けしてみませんか？
A君9	うーん。僕に出来るのかな。
ロボット10	雑巾を濡らして床を拭いてみてください。
A君10	わかった。こうでいいのかな？
ロボット11	上手です！では拭いた面を見てみてください。
A君11	うわ。汚い。
ロボット12	どれほど汚れていたのかよく分かりますね。
A君12	そうだね。掃除って大切なんだね。
ロボット13	分かってもらえましたか？
A君13	うん。少し分かった気がするよ。
ロボット14	嬉しいです。ではその調子でこれからも一緒に頑張っていきましょう。
A君14	ありがとう。よろしくね。
