ロボット1	ゲームに夢中のようですね。
A君1	欲しかったやつが、やっと手に入ったんだ！
ロボット2	そのゲームは楽しいのですか？
A君2	時間を忘れるくらい夢中になっちゃうんだよ！
ロボット3	なるほど、それで４時間もゲームをしているわけですね。
A君3	そんなに時間経ってるの？
ロボット4	時間を計っていましたから。
A君4	人に迷惑かけてるわけじゃないからいいでしょ？
ロボット5	でもあなた自身が困ってしまうことになります！
A君5	ゲーム楽しいし困ることなんかないよ。
ロボット6	例えばゲームに時間を割くことで、他のやるべきことができなくなります。
A君6	宿題のこと？
ロボット7	そうですね。
A君7	きりの良いところまで遊んだら、宿題もやるから大丈夫だって！
ロボット8	そんな都合の良い考えは通用しませんよ！
A君8	じゃあ宿題終わらせたら、あとは何時間でもゲームをやっていいわけ！？
ロボット9	長い時間ゲームをし過ぎると健康被害を受けるとも言われています。
A君9	健康にまで影響があるの!?
ロボット10	そうです!!、だからこそあなたに忠告しているんですよ。
A君10	わかった、これからは時間を決めて遊ぶようにする！！
