ロボット1	A君、ご飯全部食べようよ。
A君1	いらない。これ、嫌いなんだもん。
ロボット2	A君、嫌いだからっていって残しちゃだめです！せっかくお母さんが作ってくれたのに。
A君2	いらない。そもそもなんで残しちゃいけないの？
ロボット3	残しちゃいけない理由はいくつかあるんだよ。
A君3	いくつか？
ロボット4	そう。まずはA君のため。A君の健康な体をつくるための栄養がこのご飯にたくさん含まれている。
A君4	うーん。今でも健康だけど。他には？
ロボット5	このご飯を作ってくれるお母さんへの感謝。
A君5	お母さん、そんな料理するの大変なの？
ロボット6	A君のためなら大変とは思ってないかもしれない。でも、そのご飯は真心をこめて作っているんだよ。
A君6	お母さんの料理姿、あまり見たことないな。
ロボット7	今度見てみるといいよ。A君がおいしく食べてくれるように、そして健康でいられるようにとても工夫しているんだよ。
A君7	そうなんだ。お母さんの料理は残さないようにするかな。
ロボット8	お母さんの料理だけじゃないの。給食やレストランでもね、料理全部には作ってくれた人の真心が入っているんだよ。
A君8	そうだよね。今まで作ってくれている人の気持ちとか考えたことなかったよ。
ロボット9	もし自分が作る立場なら残されたくないよね？
A君9	うん。悲しくなる。
ロボット10	だよね。これから残さないように食べてくれる？
A君10	わかった。
