ロボット1	今日はとても良い天気ですね
A君1	そうだね
ロボット2	こんな日には外に出て運動でもしたいですよね
A君2	そうかな、あんまり乗り気がしないな
ロボット3	どうしてですか運動が嫌いですか
A君3	嫌いじゃないんだけどなんか面倒なんだよね
ロボット4	部屋に閉じこもっていると気持ちも晴れませんよ
A君4	部屋にいても十分に楽しいよ
ロボット5	それはそうかもしれないですけど私はあなたの健康を考えて言ってるんですよ
A君5	それは分かってるんだけど
ロボット6	わかってるのなら外に出ましょうよ
A君6	今日はやめておこう、明日から走る事にするよ
ロボット7	そんなこと言って明日も同じこと言うつもりでしょう
A君7	そんなことないよ
ロボット8	あなたは自分の健康のこと考えているんですか
A君8	ちゃんと考えてるよ
ロボット9	考えていればそんな言い訳ばっかりいいませんよ
A君9	わかったよ走ってくればいいんだろ
ロボット10	ようやくやる気になってくれましたね
A君10	走って来るから気分が盛り上がる音楽でも流してよ
ロボット11	わかりました
A君11	じゃあ走って来るよ
ロボット12	車には気を付けてくださいね
