ロボット1	Ａ君、ご飯が残っているようです。丈夫な体を作るために、残さず食べてくださいね。
A君1	これあんまり好きじゃないし、お腹いっぱいでもう食べられないよ。
ロボット2	ご飯は体のエネルギーです。バランスよく食べることで、パワーが出ますよ！
A君2	分かってるけど、もういらない。
ロボット3	今いらなくても、後の体のためになりますから、食べておきましょう。
A君3	えー
ロボット4	ご飯が食べられることは、当たり前ではないんです。後で食べられなくなることが起こるかもしれません。
A君4	大丈夫でしょ。
ロボット5	いざという時のパワーのために、ご飯を残さずに食べてほしいんです。もう少しですから、食べてしまいましょう。
A君5	うーん..
ロボット6	食べられるまで僕は見ていますよ。
A君6	でも..
ロボット7	じーーー
A君7	どうしたの？
ロボット8	じーっと見ていますよ。
A君8	うーん、分かったよ、食べるよ..
ロボット9	やったー！Ａ君、その調子です。Ａ君のエネルギーが増えていますよ。
A君9	食べたよ！
ロボット10	すごいです！綺麗に食べられましたね！Ａ君がご飯を食べてくれて、僕も嬉しいです！
A君10	ごちそうさま。
