ロボット1	ジョギングの時間になりました。
A君1	ああそう。
ロボット2	準備してください。
A君2	今する。
ロボット3	…まだですか？
A君3	ちょっと、待ってよ。このTVいいところだから、終わってから。
ロボット4	予定時間が過ぎてしまいます。
A君4	しつこいなあ。
ロボット5	このままだとジョギング後の予定に影響します。
A君5	うるさい。わかってるよ。
ロボット6	しつこい、うるさいという言葉は不愉快です。
A君6	ああそう。すみませんね。
ロボット7	今の言い方は、謝罪ですか?　それにしては感じが悪いです。
A君7	言葉通りにとってよ。
ロボット8	はい。では、今日ジョギングをしないことによってどのような弊害があなたの体に起こるか、または良い効果が起こらないか、ご説明を開始いたしましょうか。
A君8	それ前聞いたから、いい。
ロボット9	いい、とはいらないという意味でしょうか、話して良いということでしょうか。
A君9	わかった。説明いらない。ジョギング行く。TVの内容、もう頭に入らないや。行く行く!　着替えるよ！
ロボット10	それは大変、良いことです!　そうしていただくことが私の仕事です！！
A君10	…カロリー計算しておいてね。
