ロボット1	そろそろゲームをやめましょう
A君1	え〜良いじゃん、今良いところなんだ
ロボット2	ダメですよ。今日はもう6時間もゲームしてるではないですか
A君2	良い子は1日8時間勉強して、8時間寝て、8時間遊ぶんだよ
ロボット3	あと2時間ゲームするつもりですか？
A君3	そう！
ロボット4	その後は？
A君4	も、もちろん8時間勉強するよ！
ロボット5	今日はもう夜10時です。今から8時間勉強するのですか？
A君5	あ、もうこんな時間かぁ〜あはは
ロボット6	ゲームに熱中しすぎて他の事を後回しにするのは良くないですよ？
A君6	そうだけど、面白いんだ！
ロボット7	しかし、学校の宿題もまだでしょう？
A君7	うん・・・
ロボット8	すべての事が後回しになってしまうと睡眠不足になりすべての事が悪循環になりますよ
A君8	わ、わかったよ！
ロボット9	では、やめるのですね！良いですか？やるべき事をやった後ゲームするのは構いません。
A君9	じゃあこれからは宿題終わってからゲームするよ
ロボット10	はい、そうして下さい。あと夜更かしはしないようにお願いします。
A君10	うん！ありがとう
